G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1985-10-26,New York Knicks,W,99,89,W 1,1-0,10
2,1985-10-29,Milwaukee Bucks,L,117,119,L 1,1-1,-2
3,1985-10-30,Detroit Pistons,W,132,125,W 1,2-1,7
4,1985-11-01,New Jersey Nets,L,102,106,L 1,2-2,-4
5,1985-11-02,Atlanta Hawks,L,113,114,L 2,2-3,-1
6,1985-11-06,Indiana Pacers,W,105,97,W 1,3-3,8
7,1985-11-08,San Antonio Spurs,L,95,107,L 1,3-4,-12
8,1985-11-10,Milwaukee Bucks,W,105,97,W 1,4-4,8
9,1985-11-13,Chicago Bulls,W,110,106,W 2,5-4,4
10,1985-11-16,Washington Bullets,L,97,118,L 1,5-5,-21
11,1985-11-20,Golden State Warriors,W,117,113,W 1,6-5,4
12,1985-11-22,Boston Celtics,L,103,110,L 1,6-6,-7
13,1985-11-23,Detroit Pistons,L,114,119,L 2,6-7,-5
14,1985-11-26,Boston Celtics,L,91,98,L 3,6-8,-7
15,1985-11-27,New Jersey Nets,W,111,100,W 1,7-8,11
16,1985-11-29,Indiana Pacers,W,110,100,W 2,8-8,10
17,1985-11-30,New York Knicks,W,115,95,W 3,9-8,20
18,1985-12-03,Detroit Pistons,W,127,107,W 4,10-8,20
19,1985-12-04,Washington Bullets,W,115,110,W 5,11-8,5
20,1985-12-06,Denver Nuggets,L,121,123,L 1,11-9,-2
21,1985-12-08,Seattle SuperSonics,L,100,105,L 2,11-10,-5
22,1985-12-11,Cleveland Cavaliers,W,125,110,W 1,12-10,15
23,1985-12-12,Chicago Bulls,L,102,106,L 1,12-11,-4
24,1985-12-14,Atlanta Hawks,L,103,107,L 2,12-12,-4
25,1985-12-17,Indiana Pacers,W,102,96,W 1,13-12,6
26,1985-12-18,Houston Rockets,W,126,108,W 2,14-12,18
27,1985-12-20,Utah Jazz,W,112,105,W 3,15-12,7
28,1985-12-21,Boston Celtics,W,108,102,W 4,16-12,6
29,1985-12-26,Los Angeles Clippers,W,117,108,W 5,17-12,9
30,1985-12-28,Phoenix Suns,W,100,98,W 6,18-12,2
31,1985-12-30,Sacramento Kings,W,87,84,W 7,19-12,3
32,1986-01-01,Portland Trail Blazers,W,121,119,W 8,20-12,2
33,1986-01-04,Houston Rockets,L,100,115,L 1,20-13,-15
34,1986-01-06,San Antonio Spurs,W,108,102,W 1,21-13,6
35,1986-01-08,Los Angeles Clippers,W,116,114,W 2,22-13,2
36,1986-01-10,Sacramento Kings,W,113,102,W 3,23-13,11
37,1986-01-11,Detroit Pistons,W,102,101,W 4,24-13,1
38,1986-01-14,New Jersey Nets,W,123,105,W 5,25-13,18
39,1986-01-15,New Jersey Nets,L,89,123,L 1,25-14,-34
40,1986-01-17,Chicago Bulls,W,120,118,W 1,26-14,2
41,1986-01-20,New York Knicks,W,103,93,W 2,27-14,10
42,1986-01-22,Phoenix Suns,W,118,111,W 3,28-14,7
43,1986-01-24,Cleveland Cavaliers,W,121,114,W 4,29-14,7
44,1986-01-26,Boston Celtics,L,103,105,L 1,29-15,-2
45,1986-01-28,Seattle SuperSonics,W,106,99,W 1,30-15,7
46,1986-01-29,Utah Jazz,L,86,107,L 1,30-16,-21
47,1986-01-31,Los Angeles Lakers,L,100,134,L 2,30-17,-34
48,1986-02-01,Golden State Warriors,L,121,125,L 3,30-18,-4
49,1986-02-05,New Jersey Nets,W,142,107,W 1,31-18,35
50,1986-02-06,Cleveland Cavaliers,W,111,103,W 2,32-18,8
51,1986-02-12,Chicago Bulls,W,106,98,W 3,33-18,8
52,1986-02-13,New York Knicks,W,95,92,W 4,34-18,3
53,1986-02-15,Detroit Pistons,L,133,134,L 1,34-19,-1
54,1986-02-17,Milwaukee Bucks,L,106,111,L 2,34-20,-5
55,1986-02-19,Portland Trail Blazers,W,153,133,W 1,35-20,20
56,1986-02-21,Washington Bullets,W,97,87,W 2,36-20,10
57,1986-02-23,Los Angeles Lakers,L,111,117,L 1,36-21,-6
58,1986-02-25,Chicago Bulls,W,122,108,W 1,37-21,14
59,1986-02-28,Dallas Mavericks,W,123,120,W 2,38-21,3
60,1986-03-01,Denver Nuggets,W,118,107,W 3,39-21,11
61,1986-03-04,Atlanta Hawks,L,121,128,L 1,39-22,-7
62,1986-03-05,Atlanta Hawks,L,114,122,L 2,39-23,-8
63,1986-03-07,Milwaukee Bucks,L,95,125,L 3,39-24,-30
64,1986-03-09,Indiana Pacers,W,120,102,W 1,40-24,18
65,1986-03-11,Indiana Pacers,W,101,91,W 2,41-24,10
66,1986-03-12,New York Knicks,W,105,95,W 3,42-24,10
67,1986-03-14,Cleveland Cavaliers,W,109,100,W 4,43-24,9
68,1986-03-16,Boston Celtics,L,101,118,L 1,43-25,-17
69,1986-03-17,Cleveland Cavaliers,W,118,112,W 1,44-25,6
70,1986-03-19,Chicago Bulls,W,118,112,W 2,45-25,6
71,1986-03-21,Washington Bullets,W,112,105,W 3,46-25,7
72,1986-03-22,New Jersey Nets,W,123,115,W 4,47-25,8
73,1986-03-24,Washington Bullets,L,93,100,L 1,47-26,-7
74,1986-03-26,Atlanta Hawks,W,112,103,W 1,48-26,9
75,1986-03-28,Milwaukee Bucks,L,94,116,L 1,48-27,-22
76,1986-03-30,Dallas Mavericks,W,114,113,W 1,49-27,1
77,1986-04-02,New York Knicks,W,93,87,W 2,50-27,6
78,1986-04-04,Cleveland Cavaliers,W,122,102,W 3,51-27,20
79,1986-04-06,Boston Celtics,W,95,94,W 4,52-27,1
80,1986-04-08,Detroit Pistons,W,116,112,W 5,53-27,4
81,1986-04-11,Indiana Pacers,W,130,122,W 6,54-27,8
82,1986-04-13,Washington Bullets,L,97,98,L 1,54-28,-1
