G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1990-11-02,Utah Jazz,W,119,96,W 1,1-0,23
2,1990-11-03,Utah Jazz,L,101,102,L 1,1-1,-1
3,1990-11-07,Golden State Warriors,W,126,119,W 1,2-1,7
4,1990-11-10,Denver Nuggets,W,173,143,W 2,3-1,30
5,1990-11-13,Los Angeles Lakers,W,112,111,W 3,4-1,1
6,1990-11-14,Los Angeles Clippers,L,102,108,L 1,4-2,-6
7,1990-11-16,Los Angeles Clippers,W,121,110,W 1,5-2,11
8,1990-11-17,San Antonio Spurs,L,114,128,L 1,5-3,-14
9,1990-11-21,Chicago Bulls,W,109,107,W 1,6-3,2
10,1990-11-23,New Jersey Nets,L,114,116,L 1,6-4,-2
11,1990-11-27,Portland Trail Blazers,W,123,109,W 1,7-4,14
12,1990-11-29,Seattle SuperSonics,W,128,110,W 2,8-4,18
13,1990-12-01,Los Angeles Lakers,L,98,108,L 1,8-5,-10
14,1990-12-04,Chicago Bulls,L,127,155,L 2,8-6,-28
15,1990-12-05,Indiana Pacers,L,121,126,L 3,8-7,-5
16,1990-12-07,New Jersey Nets,W,129,110,W 1,9-7,19
17,1990-12-08,Orlando Magic,W,113,109,W 2,10-7,4
18,1990-12-11,Sacramento Kings,W,113,90,W 3,11-7,23
19,1990-12-13,Orlando Magic,W,125,114,W 4,12-7,11
20,1990-12-15,Denver Nuggets,W,142,134,W 5,13-7,8
21,1990-12-18,Dallas Mavericks,W,114,95,W 6,14-7,19
22,1990-12-19,Minnesota Timberwolves,W,112,96,W 7,15-7,16
23,1990-12-21,San Antonio Spurs,L,128,132,L 1,15-8,-4
24,1990-12-22,Houston Rockets,L,102,122,L 2,15-9,-20
25,1990-12-26,Dallas Mavericks,W,115,88,W 1,16-9,27
26,1990-12-28,Philadelphia 76ers,W,115,96,W 2,17-9,19
27,1990-12-29,Miami Heat,W,134,95,W 3,18-9,39
28,1991-01-02,Cleveland Cavaliers,W,105,83,W 4,19-9,22
29,1991-01-04,Boston Celtics,L,103,132,L 1,19-10,-29
30,1991-01-05,Milwaukee Bucks,L,86,88,L 2,19-11,-2
31,1991-01-07,Minnesota Timberwolves,W,119,106,W 1,20-11,13
32,1991-01-09,Cleveland Cavaliers,W,113,105,W 2,21-11,8
33,1991-01-11,Houston Rockets,W,114,110,W 3,22-11,4
34,1991-01-12,Golden State Warriors,W,127,118,W 4,23-11,9
35,1991-01-15,Washington Bullets,W,127,97,W 5,24-11,30
36,1991-01-18,Detroit Pistons,W,103,102,W 6,25-11,1
37,1991-01-19,Sacramento Kings,L,97,101,L 1,25-12,-4
38,1991-01-22,Portland Trail Blazers,L,116,123,L 2,25-13,-7
39,1991-01-25,Seattle SuperSonics,W,128,113,W 1,26-13,15
40,1991-01-26,New York Knicks,W,112,94,W 2,27-13,18
41,1991-01-29,Orlando Magic,L,112,114,L 1,27-14,-2
42,1991-01-30,Miami Heat,W,115,104,W 1,28-14,11
43,1991-02-01,Philadelphia 76ers,L,89,96,L 1,28-15,-7
44,1991-02-03,Detroit Pistons,W,112,97,W 1,29-15,15
45,1991-02-05,Denver Nuggets,W,126,103,W 2,30-15,23
46,1991-02-06,Utah Jazz,L,99,103,L 1,30-16,-4
47,1991-02-12,Los Angeles Lakers,W,99,95,W 1,31-16,4
48,1991-02-14,San Antonio Spurs,W,106,97,W 2,32-16,9
49,1991-02-16,Houston Rockets,L,91,100,L 1,32-17,-9
50,1991-02-19,Boston Celtics,W,109,105,W 1,33-17,4
51,1991-02-20,Los Angeles Clippers,W,113,93,W 2,34-17,20
52,1991-02-22,Portland Trail Blazers,L,106,127,L 1,34-18,-21
53,1991-02-23,Seattle SuperSonics,W,120,110,W 1,35-18,10
54,1991-02-25,Charlotte Hornets,W,128,108,W 2,36-18,20
55,1991-02-27,Orlando Magic,L,116,124,L 1,36-19,-8
56,1991-03-01,Sacramento Kings,W,112,106,W 1,37-19,6
57,1991-03-04,Charlotte Hornets,W,126,93,W 2,38-19,33
58,1991-03-05,New York Knicks,W,107,102,W 3,39-19,5
59,1991-03-07,Atlanta Hawks,W,106,104,W 4,40-19,2
60,1991-03-08,Washington Bullets,W,117,91,W 5,41-19,26
61,1991-03-10,Minnesota Timberwolves,W,123,109,W 6,42-19,14
62,1991-03-13,Portland Trail Blazers,W,116,108,W 7,43-19,8
63,1991-03-15,Houston Rockets,L,128,135,L 1,43-20,-7
64,1991-03-16,Atlanta Hawks,W,128,116,W 1,44-20,12
65,1991-03-18,Indiana Pacers,W,111,103,W 2,45-20,8
66,1991-03-20,Dallas Mavericks,W,110,96,W 3,46-20,14
67,1991-03-22,Seattle SuperSonics,L,105,111,L 1,46-21,-6
68,1991-03-23,Sacramento Kings,W,100,95,W 1,47-21,5
69,1991-03-25,Los Angeles Clippers,L,94,106,L 1,47-22,-12
70,1991-03-26,Minnesota Timberwolves,W,117,95,W 1,48-22,22
71,1991-03-28,Milwaukee Bucks,W,102,88,W 2,49-22,14
72,1991-04-02,Utah Jazz,W,131,117,W 3,50-22,14
73,1991-04-04,Los Angeles Lakers,L,98,102,L 1,50-23,-4
74,1991-04-05,Golden State Warriors,L,101,118,L 2,50-24,-17
75,1991-04-07,Los Angeles Lakers,L,85,93,L 3,50-25,-8
76,1991-04-09,Golden State Warriors,W,120,106,W 1,51-25,14
77,1991-04-12,Dallas Mavericks,W,103,91,W 2,52-25,12
78,1991-04-14,San Antonio Spurs,L,101,109,L 1,52-26,-8
79,1991-04-16,Denver Nuggets,W,153,118,W 1,53-26,35
80,1991-04-17,Los Angeles Clippers,W,105,100,W 2,54-26,5
81,1991-04-19,Seattle SuperSonics,L,93,104,L 1,54-27,-11
82,1991-04-21,Portland Trail Blazers,W,135,118,W 1,55-27,17
