G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1997-10-31,Seattle SuperSonics,L,83,91,L 1,0-1,-8
2,1997-11-01,Los Angeles Clippers,W,82,74,W 1,1-1,8
3,1997-11-04,Minnesota Timberwolves,W,122,105,W 2,2-1,17
4,1997-11-07,Houston Rockets,W,86,85,W 3,3-1,1
5,1997-11-08,Dallas Mavericks,W,101,94,W 4,4-1,7
6,1997-11-10,Detroit Pistons,W,86,82,W 5,5-1,4
7,1997-11-14,Phoenix Suns,L,139,140,L 1,5-2,-1
8,1997-11-15,Golden State Warriors,W,99,87,W 1,6-2,12
9,1997-11-17,Dallas Mavericks,W,120,75,W 2,7-2,45
10,1997-11-19,Charlotte Hornets,L,92,106,L 1,7-3,-14
11,1997-11-20,Detroit Pistons,W,93,87,W 1,8-3,6
12,1997-11-22,New Jersey Nets,L,87,93,L 1,8-4,-6
13,1997-11-24,Toronto Raptors,W,91,90,W 1,9-4,1
14,1997-11-26,Minnesota Timberwolves,W,96,90,W 2,10-4,6
15,1997-11-28,Houston Rockets,L,89,98,L 1,10-5,-9
16,1997-12-02,Orlando Magic,L,88,89,L 2,10-6,-1
17,1997-12-05,Utah Jazz,W,94,77,W 1,11-6,17
18,1997-12-08,Los Angeles Lakers,W,105,99,W 2,12-6,6
19,1997-12-10,Indiana Pacers,W,93,85,W 3,13-6,8
20,1997-12-12,Seattle SuperSonics,L,98,111,L 1,13-7,-13
21,1997-12-15,Atlanta Hawks,L,90,99,L 2,13-8,-9
22,1997-12-16,Sacramento Kings,L,87,94,L 3,13-9,-7
23,1997-12-19,Vancouver Grizzlies,W,96,91,W 1,14-9,5
24,1997-12-21,Vancouver Grizzlies,L,86,88,L 1,14-10,-2
25,1997-12-23,Sacramento Kings,W,93,82,W 1,15-10,11
26,1997-12-27,Utah Jazz,W,102,91,W 2,16-10,11
27,1997-12-28,San Antonio Spurs,W,82,79,W 3,17-10,3
28,1997-12-30,Philadelphia 76ers,W,96,86,W 4,18-10,10
29,1998-01-02,San Antonio Spurs,L,69,85,L 1,18-11,-16
30,1998-01-03,Houston Rockets,W,97,95,W 1,19-11,2
31,1998-01-05,Milwaukee Bucks,L,92,98,L 1,19-12,-6
32,1998-01-07,Charlotte Hornets,L,89,91,L 2,19-13,-2
33,1998-01-09,Minnesota Timberwolves,L,91,96,L 3,19-14,-5
34,1998-01-10,Milwaukee Bucks,L,90,95,L 4,19-15,-5
35,1998-01-13,Miami Heat,L,68,76,L 5,19-16,-8
36,1998-01-16,Utah Jazz,W,96,86,W 1,20-16,10
37,1998-01-18,Denver Nuggets,W,94,82,W 2,21-16,12
38,1998-01-20,Cleveland Cavaliers,W,86,84,W 3,22-16,2
39,1998-01-21,Washington Wizards,W,100,87,W 4,23-16,13
40,1998-01-23,Philadelphia 76ers,L,87,98,L 1,23-17,-11
41,1998-01-24,Atlanta Hawks,W,92,77,W 1,24-17,15
42,1998-01-27,Golden State Warriors,L,78,82,L 1,24-18,-4
43,1998-01-29,Chicago Bulls,L,87,100,L 2,24-19,-13
44,1998-02-01,Toronto Raptors,W,97,90,W 1,25-19,7
45,1998-02-03,New Jersey Nets,W,98,97,W 2,26-19,1
46,1998-02-04,Los Angeles Lakers,L,115,122,L 1,26-20,-7
47,1998-02-10,Los Angeles Lakers,W,117,105,W 1,27-20,12
48,1998-02-12,Phoenix Suns,W,115,110,W 2,28-20,5
49,1998-02-13,Houston Rockets,W,105,81,W 3,29-20,24
50,1998-02-15,Denver Nuggets,W,117,82,W 4,30-20,35
51,1998-02-17,Golden State Warriors,W,101,83,W 5,31-20,18
52,1998-02-18,Seattle SuperSonics,L,95,101,L 1,31-21,-6
53,1998-02-20,New York Knicks,L,89,98,L 2,31-22,-9
54,1998-02-22,Boston Celtics,W,121,96,W 1,32-22,25
55,1998-02-25,Chicago Bulls,W,106,101,W 2,33-22,5
56,1998-02-27,Indiana Pacers,L,59,124,L 1,33-23,-65
57,1998-03-01,Boston Celtics,L,101,102,L 2,33-24,-1
58,1998-03-03,Phoenix Suns,W,98,93,W 1,34-24,5
59,1998-03-08,San Antonio Spurs,L,78,82,L 1,34-25,-4
60,1998-03-11,Los Angeles Lakers,L,107,121,L 2,34-26,-14
61,1998-03-12,Minnesota Timberwolves,W,95,92,W 1,35-26,3
62,1998-03-14,Denver Nuggets,L,82,92,L 1,35-27,-10
63,1998-03-15,Los Angeles Clippers,W,103,92,W 1,36-27,11
64,1998-03-17,Cleveland Cavaliers,L,82,96,L 1,36-28,-14
65,1998-03-19,New York Knicks,W,82,77,W 1,37-28,5
66,1998-03-20,Orlando Magic,L,87,102,L 1,37-29,-15
67,1998-03-22,Miami Heat,L,80,112,L 2,37-30,-32
68,1998-03-24,Washington Wizards,L,87,99,L 3,37-31,-12
69,1998-03-26,Vancouver Grizzlies,W,108,102,W 1,38-31,6
70,1998-03-27,Sacramento Kings,W,90,73,W 2,39-31,17
71,1998-03-29,Golden State Warriors,W,99,83,W 3,40-31,16
72,1998-04-01,Utah Jazz,L,89,98,L 1,40-32,-9
73,1998-04-03,Dallas Mavericks,W,109,102,W 1,41-32,7
74,1998-04-04,Phoenix Suns,L,83,90,L 1,41-33,-7
75,1998-04-06,San Antonio Spurs,W,79,75,W 1,42-33,4
76,1998-04-07,Dallas Mavericks,W,99,91,W 2,43-33,8
77,1998-04-09,Los Angeles Clippers,W,99,95,W 3,44-33,4
78,1998-04-11,Vancouver Grizzlies,L,96,105,L 1,44-34,-9
79,1998-04-14,Sacramento Kings,W,92,66,W 1,45-34,26
80,1998-04-16,Los Angeles Clippers,W,99,90,W 2,46-34,9
81,1998-04-17,Denver Nuggets,L,101,109,L 1,46-35,-8
82,1998-04-19,Seattle SuperSonics,L,82,90,L 2,46-36,-8
