G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2007-10-31,New Orleans Hornets,L,90,104,L 1,0-1,-14
2,2007-11-02,San Antonio Spurs,L,80,96,L 2,0-2,-16
3,2007-11-03,Dallas Mavericks,L,102,123,L 3,0-3,-21
4,2007-11-06,Seattle SuperSonics,W,104,98,W 1,1-3,6
5,2007-11-09,Cleveland Cavaliers,L,91,93,L 1,1-4,-2
6,2007-11-10,Minnesota Timberwolves,W,100,93,W 1,2-4,7
7,2007-11-12,Utah Jazz,L,93,117,L 1,2-5,-24
8,2007-11-14,Minnesota Timberwolves,L,103,108,L 2,2-6,-5
9,2007-11-16,New York Knicks,W,123,118,W 1,3-6,5
10,2007-11-18,Detroit Pistons,W,105,95,W 2,4-6,10
11,2007-11-20,Phoenix Suns,L,98,100,L 1,4-7,-2
12,2007-11-21,Phoenix Suns,L,111,127,L 2,4-8,-16
13,2007-11-23,Portland Trail Blazers,L,84,87,L 3,4-9,-3
14,2007-11-26,San Antonio Spurs,W,112,99,W 1,5-9,13
15,2007-11-28,Golden State Warriors,L,96,103,L 1,5-10,-7
16,2007-12-01,Houston Rockets,W,107,99,W 1,6-10,8
17,2007-12-04,Utah Jazz,W,117,107,W 2,7-10,10
18,2007-12-07,Los Angeles Clippers,L,87,97,L 1,7-11,-10
19,2007-12-08,Denver Nuggets,L,97,101,L 2,7-12,-4
20,2007-12-10,Milwaukee Bucks,W,96,93,W 1,8-12,3
21,2007-12-12,Boston Celtics,L,78,90,L 1,8-13,-12
22,2007-12-14,Philadelphia 76ers,W,109,99,W 1,9-13,10
23,2007-12-15,Washington Wizards,L,79,92,L 1,9-14,-13
24,2007-12-18,New Jersey Nets,W,106,101,W 1,10-14,5
25,2007-12-19,Milwaukee Bucks,W,102,89,W 2,11-14,13
26,2007-12-23,Denver Nuggets,L,105,106,L 1,11-15,-1
27,2007-12-26,Boston Celtics,L,69,89,L 2,11-16,-20
28,2007-12-28,Philadelphia 76ers,L,80,92,L 3,11-17,-12
29,2007-12-30,Phoenix Suns,L,102,117,L 4,11-18,-15
30,2008-01-02,New York Knicks,W,107,97,W 1,12-18,10
31,2008-01-04,Cleveland Cavaliers,L,93,97,L 1,12-19,-4
32,2008-01-05,Chicago Bulls,L,93,94,L 2,12-20,-1
33,2008-01-08,Orlando Magic,W,104,100,W 1,13-20,4
34,2008-01-10,Memphis Grizzlies,W,116,113,W 2,14-20,3
35,2008-01-12,Indiana Pacers,L,105,111,L 1,14-21,-6
36,2008-01-14,Dallas Mavericks,W,122,120,W 1,15-21,2
37,2008-01-16,Toronto Raptors,L,91,116,L 1,15-22,-25
38,2008-01-18,Detroit Pistons,W,100,93,W 1,16-22,7
39,2008-01-19,Indiana Pacers,W,110,104,W 2,17-22,6
40,2008-01-22,New Jersey Nets,W,128,94,W 3,18-22,34
41,2008-01-23,Los Angeles Clippers,L,85,111,L 1,18-23,-26
42,2008-01-25,Utah Jazz,L,113,127,L 2,18-24,-14
43,2008-01-27,Seattle SuperSonics,W,103,101,W 1,19-24,2
44,2008-01-30,Charlotte Bobcats,W,105,91,W 2,20-24,14
45,2008-02-01,New Orleans Hornets,W,112,103,W 3,21-24,9
46,2008-02-02,Chicago Bulls,W,105,101,W 4,22-24,4
47,2008-02-06,Seattle SuperSonics,L,92,105,L 1,22-25,-13
48,2008-02-08,Utah Jazz,W,117,104,W 1,23-25,13
49,2008-02-09,Golden State Warriors,L,102,105,L 1,23-26,-3
50,2008-02-12,Memphis Grizzlies,L,94,107,L 2,23-27,-13
51,2008-02-13,Houston Rockets,L,87,89,L 3,23-28,-2
52,2008-02-19,Portland Trail Blazers,W,105,94,W 1,24-28,11
53,2008-02-20,Atlanta Hawks,W,119,107,W 2,25-28,12
54,2008-02-22,Charlotte Bobcats,W,116,115,W 3,26-28,1
55,2008-02-24,Orlando Magic,L,93,112,L 1,26-29,-19
56,2008-02-26,Miami Heat,L,86,107,L 2,26-30,-21
57,2008-02-27,Atlanta Hawks,L,117,123,L 3,26-31,-6
58,2008-02-29,Dallas Mavericks,L,106,115,L 4,26-32,-9
59,2008-03-02,Miami Heat,W,120,109,W 1,27-32,11
60,2008-03-04,Los Angeles Lakers,L,105,117,L 1,27-33,-12
61,2008-03-05,Los Angeles Clippers,L,109,116,L 2,27-34,-7
62,2008-03-07,Minnesota Timberwolves,L,103,111,L 3,27-35,-8
63,2008-03-09,Los Angeles Lakers,W,114,113,W 1,28-35,1
64,2008-03-13,Portland Trail Blazers,W,96,85,W 2,29-35,11
65,2008-03-15,Phoenix Suns,L,99,127,L 1,29-36,-28
66,2008-03-16,Toronto Raptors,W,106,100,W 1,30-36,6
67,2008-03-18,Golden State Warriors,W,122,105,W 2,31-36,17
68,2008-03-21,San Antonio Spurs,L,89,102,L 1,31-37,-13
69,2008-03-22,Memphis Grizzlies,L,111,117,L 2,31-38,-6
70,2008-03-24,Houston Rockets,L,100,108,L 3,31-39,-8
71,2008-03-26,Memphis Grizzlies,W,107,106,W 1,32-39,1
72,2008-03-28,Washington Wizards,L,108,114,L 1,32-40,-6
73,2008-03-30,Seattle SuperSonics,W,120,107,W 1,33-40,13
74,2008-04-01,Houston Rockets,W,99,98,W 2,34-40,1
75,2008-04-03,Los Angeles Clippers,W,110,98,W 3,35-40,12
76,2008-04-05,Denver Nuggets,W,118,115,W 4,36-40,3
77,2008-04-06,Los Angeles Lakers,L,92,114,L 1,36-41,-22
78,2008-04-08,Golden State Warriors,L,132,140,L 2,36-42,-8
79,2008-04-11,Portland Trail Blazers,W,103,86,W 1,37-42,17
80,2008-04-12,New Orleans Hornets,W,94,91,W 2,38-42,3
81,2008-04-14,San Antonio Spurs,L,98,101,L 1,38-43,-3
82,2008-04-15,Los Angeles Lakers,L,101,124,L 2,38-44,-23
