G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2011-12-26,Cleveland Cavaliers,W,104,96,W 1,1-0,8
2,2011-12-28,Indiana Pacers,L,85,90,L 1,1-1,-5
3,2011-12-30,Dallas Mavericks,L,86,99,L 2,1-2,-13
4,2012-01-01,Orlando Magic,L,96,102,L 3,1-3,-6
5,2012-01-02,New York Knicks,W,90,85,W 1,2-3,5
6,2012-01-04,Cleveland Cavaliers,W,92,77,W 2,3-3,15
7,2012-01-06,New Jersey Nets,L,85,97,L 1,3-4,-12
8,2012-01-07,Philadelphia 76ers,L,62,97,L 2,3-5,-35
9,2012-01-09,Minnesota Timberwolves,W,97,87,W 1,4-5,10
10,2012-01-10,Washington Wizards,L,78,93,L 1,4-6,-15
11,2012-01-11,Sacramento Kings,L,91,98,L 2,4-7,-7
12,2012-01-13,Indiana Pacers,L,90,95,L 3,4-8,-5
13,2012-01-14,Chicago Bulls,L,64,77,L 4,4-9,-13
14,2012-01-16,Atlanta Hawks,L,84,93,L 5,4-10,-9
15,2012-01-18,Boston Celtics,L,73,96,L 6,4-11,-23
16,2012-01-20,Portland Trail Blazers,L,84,94,L 7,4-12,-10
17,2012-01-22,Los Angeles Clippers,L,91,103,L 8,4-13,-12
18,2012-01-24,Phoenix Suns,W,99,96,W 1,5-13,3
19,2012-01-25,Utah Jazz,W,111,106,W 2,6-13,5
20,2012-01-27,Denver Nuggets,L,81,96,L 1,6-14,-15
21,2012-01-29,New Jersey Nets,W,94,73,W 1,7-14,21
22,2012-01-31,Atlanta Hawks,L,77,100,L 1,7-15,-23
23,2012-02-01,Boston Celtics,L,64,100,L 2,7-16,-36
24,2012-02-03,Washington Wizards,W,106,89,W 1,8-16,17
25,2012-02-05,Miami Heat,L,89,95,L 1,8-17,-6
26,2012-02-06,Washington Wizards,L,108,111,L 2,8-18,-3
27,2012-02-08,Milwaukee Bucks,L,99,105,L 3,8-19,-6
28,2012-02-10,Boston Celtics,W,86,74,W 1,9-19,12
29,2012-02-12,Los Angeles Lakers,L,92,94,L 1,9-20,-2
30,2012-02-14,New York Knicks,L,87,90,L 2,9-21,-3
31,2012-02-15,San Antonio Spurs,L,106,113,L 3,9-22,-7
32,2012-02-17,Charlotte Bobcats,L,91,98,L 4,9-23,-7
33,2012-02-22,Detroit Pistons,W,103,93,W 1,10-23,10
34,2012-02-28,Houston Rockets,L,85,88,L 1,10-24,-3
35,2012-02-29,New Orleans Hornets,W,95,84,W 1,11-24,11
36,2012-03-02,Memphis Grizzlies,L,99,102,L 1,11-25,-3
37,2012-03-04,Golden State Warriors,W,83,75,W 1,12-25,8
38,2012-03-05,Orlando Magic,L,88,92,L 1,12-26,-4
39,2012-03-07,Houston Rockets,W,116,98,W 1,13-26,18
40,2012-03-10,Detroit Pistons,L,86,105,L 1,13-27,-19
41,2012-03-11,Milwaukee Bucks,L,99,105,L 2,13-28,-6
42,2012-03-13,Cleveland Cavaliers,W,96,88,W 1,14-28,8
43,2012-03-14,New Jersey Nets,L,84,98,L 1,14-29,-14
44,2012-03-16,Memphis Grizzlies,W,114,110,W 1,15-29,4
45,2012-03-17,Charlotte Bobcats,L,103,107,L 1,15-30,-4
46,2012-03-20,New York Knicks,L,87,106,L 2,15-31,-19
47,2012-03-21,Chicago Bulls,L,82,94,L 3,15-32,-12
48,2012-03-23,New York Knicks,W,96,79,W 1,16-32,17
49,2012-03-24,Chicago Bulls,L,101,102,L 1,16-33,-1
50,2012-03-26,Orlando Magic,L,101,117,L 2,16-34,-16
51,2012-03-28,Denver Nuggets,W,105,96,W 1,17-34,9
52,2012-03-30,Miami Heat,L,101,113,L 1,17-35,-12
53,2012-04-01,Washington Wizards,W,99,92,W 1,18-35,7
54,2012-04-03,Charlotte Bobcats,W,92,87,W 2,19-35,5
55,2012-04-04,Philadelphia 76ers,W,99,78,W 3,20-35,21
56,2012-04-06,Cleveland Cavaliers,L,80,84,L 1,20-36,-4
57,2012-04-08,Oklahoma City Thunder,L,75,91,L 2,20-37,-16
58,2012-04-09,Indiana Pacers,L,98,103,L 3,20-38,-5
59,2012-04-11,Philadelphia 76ers,L,75,93,L 4,20-39,-18
60,2012-04-13,Boston Celtics,W,84,79,W 1,21-39,5
61,2012-04-15,Atlanta Hawks,W,102,86,W 2,22-39,16
62,2012-04-16,Atlanta Hawks,L,87,109,L 1,22-40,-22
63,2012-04-18,Miami Heat,L,72,96,L 2,22-41,-24
64,2012-04-22,Detroit Pistons,L,73,76,L 3,22-42,-3
65,2012-04-23,Milwaukee Bucks,L,86,92,L 4,22-43,-6
66,2012-04-26,New Jersey Nets,W,98,67,W 1,23-43,31
