G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2011-12-27,Los Angeles Lakers,L,71,96,L 1,0-1,-25
2,2011-12-28,Denver Nuggets,L,100,117,L 2,0-2,-17
3,2011-12-30,Philadelphia 76ers,W,102,99,W 1,1-2,3
4,2011-12-31,San Antonio Spurs,L,89,104,L 1,1-3,-15
5,2012-01-02,New Orleans Hornets,W,94,90,W 1,2-3,4
6,2012-01-03,Milwaukee Bucks,W,85,73,W 2,3-3,12
7,2012-01-06,Memphis Grizzlies,W,94,85,W 3,4-3,9
8,2012-01-07,Golden State Warriors,W,88,87,W 4,5-3,1
9,2012-01-10,Cleveland Cavaliers,W,113,105,W 5,6-3,8
10,2012-01-11,Los Angeles Lakers,L,87,90,L 1,6-4,-3
11,2012-01-14,New Jersey Nets,W,107,94,W 1,7-4,13
12,2012-01-15,Denver Nuggets,W,106,96,W 2,8-4,10
13,2012-01-17,Los Angeles Clippers,W,108,79,W 3,9-4,29
14,2012-01-19,Dallas Mavericks,L,91,94,L 1,9-5,-3
15,2012-01-21,Minnesota Timberwolves,W,108,98,W 1,10-5,10
16,2012-01-25,Toronto Raptors,L,106,111,L 1,10-6,-5
17,2012-01-27,Dallas Mavericks,L,101,116,L 2,10-7,-15
18,2012-01-28,Sacramento Kings,W,96,93,W 1,11-7,3
19,2012-01-30,Portland Trail Blazers,W,93,89,W 2,12-7,4
20,2012-02-01,Los Angeles Clippers,L,105,107,L 1,12-8,-2
21,2012-02-02,Golden State Warriors,L,101,119,L 2,12-9,-18
22,2012-02-04,Los Angeles Lakers,W,96,87,W 1,13-9,9
23,2012-02-06,New York Knicks,L,88,99,L 1,13-10,-11
24,2012-02-07,Indiana Pacers,L,99,104,L 2,13-11,-5
25,2012-02-10,Oklahoma City Thunder,L,87,101,L 3,13-12,-14
26,2012-02-12,Memphis Grizzlies,W,98,88,W 1,14-12,10
27,2012-02-13,New Orleans Hornets,L,80,86,L 1,14-13,-6
28,2012-02-14,Oklahoma City Thunder,L,85,111,L 2,14-14,-26
29,2012-02-17,Washington Wizards,W,114,100,W 1,15-14,14
30,2012-02-19,Houston Rockets,L,85,101,L 1,15-15,-16
31,2012-02-20,San Antonio Spurs,L,102,106,L 2,15-16,-4
32,2012-02-22,Minnesota Timberwolves,L,98,100,L 3,15-17,-2
33,2012-02-28,Sacramento Kings,L,96,103,L 4,15-18,-7
34,2012-02-29,Houston Rockets,W,104,83,W 1,16-18,21
35,2012-03-02,Miami Heat,W,99,98,W 2,17-18,1
36,2012-03-03,Dallas Mavericks,L,96,102,L 1,17-19,-6
37,2012-03-05,Cleveland Cavaliers,W,109,100,W 1,18-19,9
38,2012-03-07,Charlotte Bobcats,W,99,93,W 2,19-19,6
39,2012-03-09,Philadelphia 76ers,L,91,104,L 1,19-20,-13
40,2012-03-10,Chicago Bulls,L,97,111,L 2,19-21,-14
41,2012-03-12,Detroit Pistons,W,105,90,W 1,20-21,15
42,2012-03-14,Phoenix Suns,L,111,120,L 1,20-22,-9
43,2012-03-15,Minnesota Timberwolves,W,111,105,W 1,21-22,6
44,2012-03-17,Golden State Warriors,W,99,92,W 2,22-22,7
45,2012-03-18,Los Angeles Lakers,W,103,99,W 3,23-22,4
46,2012-03-20,Oklahoma City Thunder,W,97,90,W 4,24-22,7
47,2012-03-22,Sacramento Kings,W,103,102,W 5,25-22,1
48,2012-03-23,Denver Nuggets,W,121,102,W 6,26-22,19
49,2012-03-25,Atlanta Hawks,L,133,139,L 1,26-23,-6
50,2012-03-26,New Jersey Nets,W,105,84,W 1,27-23,21
51,2012-03-28,Boston Celtics,L,82,94,L 1,27-24,-12
52,2012-03-30,Sacramento Kings,L,103,104,L 2,27-25,-1
53,2012-03-31,Los Angeles Clippers,L,96,105,L 3,27-26,-9
54,2012-04-02,Portland Trail Blazers,W,102,97,W 1,28-26,5
55,2012-04-04,Phoenix Suns,L,105,107,L 1,28-27,-2
56,2012-04-06,Golden State Warriors,W,104,98,W 1,29-27,6
57,2012-04-08,San Antonio Spurs,L,104,114,L 1,29-28,-10
58,2012-04-09,San Antonio Spurs,W,91,84,W 1,30-28,7
59,2012-04-11,Houston Rockets,W,103,91,W 2,31-28,12
60,2012-04-13,New Orleans Hornets,L,85,96,L 1,31-29,-11
61,2012-04-14,Memphis Grizzlies,L,98,103,L 2,31-30,-5
62,2012-04-16,Dallas Mavericks,W,123,121,W 1,32-30,2
63,2012-04-18,Portland Trail Blazers,W,112,91,W 2,33-30,21
64,2012-04-21,Orlando Magic,W,117,107,W 3,34-30,10
65,2012-04-24,Phoenix Suns,W,100,88,W 4,35-30,12
66,2012-04-26,Portland Trail Blazers,W,96,94,W 5,36-30,2
