G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2007-10-31,Indiana Pacers,L,110,119,L 1,0-1,-9
2,2007-11-02,Boston Celtics,L,83,103,L 2,0-2,-20
3,2007-11-03,Orlando Magic,L,82,94,L 3,0-3,-12
4,2007-11-08,New Jersey Nets,L,85,87,L 4,0-4,-2
5,2007-11-09,Denver Nuggets,L,92,118,L 5,0-5,-26
6,2007-11-11,Atlanta Hawks,W,101,90,W 1,1-5,11
7,2007-11-14,Indiana Pacers,W,103,90,W 2,2-5,13
8,2007-11-16,Minnesota Timberwolves,W,105,89,W 3,3-5,16
9,2007-11-17,Portland Trail Blazers,W,109,90,W 4,4-5,19
10,2007-11-20,Philadelphia 76ers,W,116,101,W 5,5-5,15
11,2007-11-21,Charlotte Bobcats,W,114,111,W 6,6-5,3
12,2007-11-23,Golden State Warriors,L,115,123,L 1,6-6,-8
13,2007-11-24,Memphis Grizzlies,L,118,124,L 2,6-7,-6
14,2007-11-26,Dallas Mavericks,W,110,98,W 1,7-7,12
15,2007-11-28,San Antonio Spurs,L,94,109,L 1,7-8,-15
16,2007-11-30,Philadelphia 76ers,L,84,85,L 2,7-9,-1
17,2007-12-01,Toronto Raptors,W,101,97,W 1,8-9,4
18,2007-12-05,Cleveland Cavaliers,W,105,86,W 2,9-9,19
19,2007-12-07,Phoenix Suns,L,107,122,L 1,9-10,-15
20,2007-12-09,New Jersey Nets,W,104,89,W 1,10-10,15
21,2007-12-11,Minnesota Timberwolves,W,102,88,W 2,11-10,14
22,2007-12-13,Miami Heat,W,104,91,W 3,12-10,13
23,2007-12-15,Sacramento Kings,W,92,79,W 4,13-10,13
24,2007-12-19,Chicago Bulls,L,84,95,L 1,13-11,-11
25,2007-12-21,Atlanta Hawks,L,92,97,L 2,13-12,-5
26,2007-12-22,Indiana Pacers,L,85,93,L 3,13-13,-8
27,2007-12-26,Charlotte Bobcats,W,108,104,W 1,14-13,4
28,2007-12-28,New Jersey Nets,L,106,109,L 1,14-14,-3
29,2007-12-29,Miami Heat,W,96,74,W 1,15-14,22
30,2008-01-02,Detroit Pistons,L,93,106,L 1,15-15,-13
31,2008-01-04,Milwaukee Bucks,W,101,77,W 1,16-15,24
32,2008-01-06,Seattle SuperSonics,W,108,86,W 2,17-15,22
33,2008-01-08,Houston Rockets,L,84,92,L 1,17-16,-8
34,2008-01-11,Atlanta Hawks,W,102,98,W 1,18-16,4
35,2008-01-12,Boston Celtics,W,85,78,W 2,19-16,7
36,2008-01-14,Boston Celtics,W,88,83,W 3,20-16,5
37,2008-01-15,New York Knicks,L,93,105,L 1,20-17,-12
38,2008-01-18,New York Knicks,W,111,98,W 1,21-17,13
39,2008-01-21,Dallas Mavericks,W,102,84,W 2,22-17,18
40,2008-01-23,Cleveland Cavaliers,L,85,121,L 1,22-18,-36
41,2008-01-25,Memphis Grizzlies,W,104,93,W 1,23-18,11
42,2008-01-27,Milwaukee Bucks,L,102,105,L 1,23-19,-3
43,2008-01-29,Toronto Raptors,W,108,104,W 1,24-19,4
44,2008-01-30,Toronto Raptors,L,83,122,L 1,24-20,-39
45,2008-02-01,Utah Jazz,L,87,96,L 2,24-21,-9
46,2008-02-03,Los Angeles Lakers,L,91,103,L 3,24-22,-12
47,2008-02-05,Philadelphia 76ers,L,96,101,L 4,24-23,-5
48,2008-02-06,San Antonio Spurs,L,77,85,L 5,24-24,-8
49,2008-02-08,Denver Nuggets,L,100,111,L 6,24-25,-11
50,2008-02-10,Phoenix Suns,L,107,108,L 7,24-26,-1
51,2008-02-11,Golden State Warriors,L,117,120,L 8,24-27,-3
52,2008-02-13,Los Angeles Clippers,W,91,89,W 1,25-27,2
53,2008-02-19,New York Knicks,L,100,113,L 1,25-28,-13
54,2008-02-22,Cleveland Cavaliers,L,89,90,L 2,25-29,-1
55,2008-02-23,Charlotte Bobcats,W,110,95,W 1,26-29,15
56,2008-02-25,New Orleans Hornets,W,95,92,W 2,27-29,3
57,2008-02-26,Houston Rockets,L,69,94,L 1,27-30,-25
58,2008-02-29,Chicago Bulls,W,97,91,W 1,28-30,6
59,2008-03-02,New Orleans Hornets,W,101,84,W 2,29-30,17
60,2008-03-05,Orlando Magic,L,92,122,L 1,29-31,-30
61,2008-03-07,Toronto Raptors,W,110,106,W 1,30-31,4
62,2008-03-08,Charlotte Bobcats,L,97,100,L 1,30-32,-3
63,2008-03-11,Milwaukee Bucks,W,105,97,W 1,31-32,8
64,2008-03-13,Cleveland Cavaliers,W,101,99,W 2,32-32,2
65,2008-03-15,Los Angeles Clippers,W,119,109,W 3,33-32,10
66,2008-03-17,Atlanta Hawks,L,96,105,L 1,33-33,-9
67,2008-03-19,Orlando Magic,W,87,86,W 1,34-33,1
68,2008-03-21,Miami Heat,W,103,86,W 2,35-33,17
69,2008-03-23,Detroit Pistons,W,95,83,W 3,36-33,12
70,2008-03-25,Portland Trail Blazers,L,82,102,L 1,36-34,-20
71,2008-03-26,Seattle SuperSonics,W,104,99,W 1,37-34,5
72,2008-03-28,Sacramento Kings,W,114,108,W 2,38-34,6
73,2008-03-30,Los Angeles Lakers,L,120,126,L 1,38-35,-6
74,2008-03-31,Utah Jazz,L,87,129,L 2,38-36,-42
75,2008-04-02,Milwaukee Bucks,L,109,110,L 3,38-37,-1
76,2008-04-04,Miami Heat,W,109,95,W 1,39-37,14
77,2008-04-05,Chicago Bulls,W,99,87,W 2,40-37,12
78,2008-04-09,Boston Celtics,W,109,95,W 3,41-37,14
79,2008-04-11,Detroit Pistons,L,74,102,L 1,41-38,-28
80,2008-04-12,Philadelphia 76ers,W,109,93,W 1,42-38,16
81,2008-04-14,Indiana Pacers,W,117,110,W 2,43-38,7
82,2008-04-16,Orlando Magic,L,83,103,L 1,43-39,-20
