,Season,Tm,Pos,G,MP,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,FG%,3P%,eFG%,FT%,Name,VotingShare,Rank
0,2001,PHI,SG,71.0,42.0,31.1,0.7,3.1,3.8,4.6,2.5,0.3,3.3,0.42,0.0,0.447,0.8140000000000001,Allen Iverson,0.904,1
1,2001,SAS,PF,82.0,38.7,22.2,3.2,9.0,12.2,3.0,0.9,2.3,3.0,0.499,0.259,0.502,0.618,Tim Duncan,0.569,2
2,2001,LAL,C,74.0,39.5,28.7,3.9,8.8,12.7,3.7,0.6,2.8,2.9,0.5720000000000001,0.0,0.5720000000000001,0.513,Shaquille O'Neal,0.466,3
3,2001,SAC,PF,70.0,40.5,27.1,2.6,8.5,11.1,4.2,1.3,1.7,2.8,0.48100000000000004,0.0,0.48100000000000004,0.703,Chris Webber,0.42,4
4,2001,MIN,PF,81.0,39.5,22.0,2.7,8.7,11.4,5.0,1.4,1.8,2.8,0.47700000000000004,0.0,0.484,0.764,Kevin Garnett,0.122,5
5,2002,SAS,PF,82.0,40.6,25.5,3.3,9.4,12.7,3.7,0.7,2.5,3.2,0.508,0.1,0.508,0.799,Tim Duncan,0.757,1
6,2002,NJN,PG,82.0,37.3,14.7,1.6,5.7,7.3,9.9,2.1,0.2,3.5,0.391,0.0,0.442,0.8140000000000001,Jason Kidd,0.7120000000000001,2
7,2002,LAL,C,67.0,36.1,27.2,3.5,7.2,10.7,3.0,0.6,2.0,2.6,0.579,0.0,0.579,0.555,Shaquille O'Neal,0.552,3
8,2002,ORL,SG,76.0,38.3,25.6,2.0,5.9,7.9,5.3,1.6,1.0,2.5,0.451,0.0,0.483,0.748,Tracy McGrady,0.31,4
9,2002,LAL,SG,80.0,38.3,25.2,1.4,4.1,5.5,5.5,1.5,0.4,2.8,0.469,0.25,0.479,0.8290000000000001,Kobe Bryant,0.078,5
10,2003,SAS,PF,81.0,39.3,23.3,3.2,9.7,12.9,3.9,0.7,2.9,3.1,0.513,0.273,0.515,0.71,Tim Duncan,0.8079999999999999,1
11,2003,MIN,PF,82.0,40.5,23.0,3.0,10.5,13.4,6.0,1.4,1.6,2.8,0.502,0.0,0.508,0.7509999999999999,Kevin Garnett,0.732,2
12,2003,LAL,SG,82.0,41.5,30.0,1.3,5.6,6.9,5.9,2.2,0.8,3.5,0.451,0.38299999999999995,0.483,0.843,Kobe Bryant,0.41700000000000004,3
