,Season,Tm,Win_Pct,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Name,VotingShare,Rank
0,2001,PHI,0.6829268292682927,94.7,13.1,31.7,44.8,20.6,8.4,5.0,15.8,0.447,0.326,0.745,Allen Iverson,0.904,1
1,2001,SAS,0.7073170731707317,96.2,11.0,33.1,44.1,21.7,6.9,7.0,14.0,0.461,0.407,0.715,Tim Duncan,0.569,2
2,2001,LAL,0.6829268292682927,100.6,13.2,31.5,44.7,23.0,6.9,6.0,14.4,0.465,0.344,0.683,Shaquille O'Neal,0.466,3
3,2001,SAC,0.6707317073170732,101.7,12.0,33.0,45.0,22.6,9.7,5.3,14.9,0.449,0.354,0.771,Chris Webber,0.42,4
4,2001,MIN,0.573170731707317,97.3,12.2,30.1,42.3,25.4,8.3,5.6,13.9,0.458,0.357,0.785,Kevin Garnett,0.122,5
5,2002,SAS,0.7073170731707317,96.7,11.1,31.3,42.4,20.0,7.6,6.5,14.4,0.458,0.362,0.742,Tim Duncan,0.757,1
6,2002,NJN,0.6341463414634146,96.2,12.7,30.7,43.3,24.3,8.7,6.0,14.5,0.446,0.338,0.735,Jason Kidd,0.7120000000000001,2
7,2002,LAL,0.7073170731707317,101.3,12.5,31.8,44.3,23.0,7.6,5.8,12.7,0.461,0.354,0.699,Shaquille O'Neal,0.552,3
8,2002,ORL,0.5365853658536586,100.5,11.5,29.8,41.2,22.0,8.1,4.7,13.6,0.448,0.373,0.754,Tracy McGrady,0.31,4
9,2002,LAL,0.7073170731707317,101.3,12.5,31.8,44.3,23.0,7.6,5.8,12.7,0.461,0.354,0.699,Kobe Bryant,0.078,5
10,2003,SAS,0.7317073170731707,95.8,11.5,31.2,42.6,20.0,7.7,6.5,15.8,0.462,0.354,0.725,Tim Duncan,0.8079999999999999,1
11,2003,MIN,0.6219512195121951,98.1,11.7,31.9,43.6,25.2,6.7,5.3,13.7,0.466,0.368,0.77,Kevin Garnett,0.732,2
12,2003,LAL,0.6097560975609756,100.4,13.1,31.1,44.3,23.3,7.8,5.7,14.5,0.451,0.356,0.734,Kobe Bryant,0.41700000000000004,3
13,2003,ORL,0.5121951219512195,98.5,11.7,29.2,40.9,20.4,8.5,3.7,14.4,0.436,0.357,0.777,Tracy McGrady,0.359,4
14,2003,LAL,0.6097560975609756,100.4,13.1,31.1,44.3,23.3,7.8,5.7,14.5,0.451,0.356,0.734,Shaquille O'Neal,0.106,5
15,2004,MIN,0.7073170731707317,94.5,10.7,32.3,42.9,23.0,6.8,5.6,12.7,0.462,0.363,0.781,Kevin Garnett,0.991,1
16,2004,SAS,0.6951219512195121,91.5,12.5,32.5,45.1,20.4,8.1,6.5,14.7,0.442,0.358,0.681,Tim Duncan,0.5820000000000001,2
17,2004,IND,0.7439024390243902,91.4,11.8,29.9,41.7,21.6,8.9,5.0,14.4,0.435,0.351,0.764,Jermaine O'Neal,0.425,3
18,2004,SAC,0.6707317073170732,102.8,10.8,30.4,41.2,26.2,8.7,4.0,13.9,0.462,0.401,0.795,Peja Stojaković,0.228,4
19,2004,LAL,0.6829268292682927,98.2,12.2,30.9,43.1,23.8,8.3,4.6,13.8,0.454,0.327,0.693,Kobe Bryant,0.172,5
20,2005,PHO,0.7560975609756098,110.4,11.8,32.3,44.1,23.5,7.0,5.5,13.7,0.477,0.393,0.748,Steve Nash,0.8390000000000001,1
21,2005,MIA,0.7195121951219512,101.5,10.8,32.2,43.0,21.8,6.4,5.8,13.7,0.486,0.377,0.672,Shaquille O'Neal,0.813,2
22,2005,DAL,0.7073170731707317,102.5,12.1,30.9,42.9,19.6,8.6,5.6,13.4,0.457,0.364,0.789,Dirk Nowitzki,0.275,3
23,2005,SAS,0.7195121951219512,96.2,12.0,30.4,42.4,21.6,7.5,6.6,13.7,0.453,0.363,0.724,Tim Duncan,0.258,4
24,2005,PHI,0.524390243902439,99.1,11.1,30.9,42.0,20.9,9.2,3.9,15.5,0.437,0.348,0.789,Allen Iverson,0.18899999999999997,5
25,2006,PHO,0.6585365853658537,108.4,9.5,32.3,41.8,26.6,6.7,5.0,13.3,0.479,0.399,0.806,Steve Nash,0.7390000000000001,1
26,2006,CLE,0.6097560975609756,97.6,11.7,30.6,42.3,19.0,6.9,4.8,13.9,0.454,0.339,0.729,LeBron James,0.55,2
27,2006,DAL,0.7317073170731707,99.1,12.6,29.6,42.2,18.0,7.2,6.0,13.6,0.462,0.374,0.783,Dirk Nowitzki,0.435,3
